AnimalID,Name_Provided,DateTime_Intake,FoundLocation,IntakeType,IntakeCondition,AnimalType_Intake,SexuponIntake,AgeuponIntake,Breed_Intake,Color_Intake,DateTime_Outcome,DateofBirth,SexuponOutcome,AgeuponOutcome,binary_outcome
A800642,No,2019-07-24 12:42:00,Austin (TX),Stray,Normal,Cat,Intact Female,106,Pure Breed,Light,2019-08-04 16:13:00,2019-04-09 00:00:00,Intact Female,117,0
A771638,Yes,2018-05-09 16:08:00,Austin (TX),Public Assist,Normal,Dog,Intact Male,2559,Mixed Breed,Light,2018-05-16 11:40:00,2011-05-07 00:00:00,Intact Male,2566,0
A725338,No,2016-04-28 11:56:00,Austin (TX),Stray,Normal,Dog,Intact Male,14,Mixed Breed,Dark,2016-08-25 12:01:00,2016-04-14 00:00:00,Neutered Male,133,0
A683379,No,2014-07-09 16:12:00,Austin (TX),Stray,Normal,Other,Unknown,365,Mixed Breed,Light,2014-07-11 11:10:00,2013-07-09 00:00:00,Unknown,367,0
A718648,Yes,2016-12-01 12:40:00,Austin (TX),Stray,Normal,Dog,Spayed Female,1976,Pure Breed,Light,2016-12-01 17:04:00,2011-07-05 00:00:00,Spayed Female,1976,0
A716131,Yes,2015-11-15 11:25:00,Pflugerville (TX),Owner Surrender,Normal,Dog,Neutered Male,669,Mixed Breed,Light,2015-11-17 00:00:00,2014-01-15 00:00:00,Neutered Male,671,0
A803103,Yes,2019-08-27 16:02:00,Austin (TX),Stray,Normal,Cat,Intact Female,46,Pure Breed,Dark,2019-09-28 12:59:00,2019-07-12 00:00:00,Spayed Female,78,0
A697691,Yes,2015-02-26 13:20:00,Austin (TX),Stray,Normal,Dog,Intact Male,365,Pure Breed,Light,2015-04-16 16:02:00,2014-02-26 00:00:00,Neutered Male,414,0
A687093,Yes,2014-08-31 11:38:00,Austin (TX),Stray,Normal,Dog,Intact Female,730,Mixed Breed,Light,2014-09-09 16:11:00,2012-08-31 00:00:00,Intact Female,739,0
A804980,Yes,2019-09-21 11:51:00,Austin (TX),Stray,Sick,Dog,Spayed Female,6208,Pure Breed,Light,2019-12-06 11:59:00,2002-09-22 00:00:00,Spayed Female,6284,0
A792937,Yes,2019-06-09 16:02:00,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,783,Mixed Breed,Dark,2019-09-16 16:39:00,2017-04-17 00:00:00,Neutered Male,882,0
A800740,Yes,2019-07-25 18:38:00,Travis (TX),Stray,Normal,Cat,Intact Male,58,Pure Breed,Dark,2019-08-06 08:02:00,2019-05-28 00:00:00,Neutered Male,70,0
A713191,Yes,2015-10-03 14:47:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,153,Mixed Breed,Dark,2015-10-07 18:40:00,2015-05-03 00:00:00,Spayed Female,157,0
A666299,Yes,2013-10-30 00:00:00,Austin (TX),Stray,Injured,Dog,Intact Female,732,Mixed Breed,Light,2013-11-11 16:05:00,2011-10-29 00:00:00,Spayed Female,744,0
A759914,No,2017-10-09 16:15:00,Austin (TX),Wildlife,Sick,Other,Unknown,1096,Mixed Breed,Dark,2017-10-10 08:47:00,2014-10-09 00:00:00,Unknown,1097,1
A801002,No,2019-07-29 20:04:00,Austin (TX),Public Assist,Normal,Bat,Unknown,365,Pure Breed,Dark,2019-07-30 10:09:00,2018-07-29 00:00:00,Unknown,366,1
A714635,Yes,2015-10-26 11:54:00,Austin (TX),Stray,Normal,Dog,Intact Male,365,Mixed Breed,Light,2015-11-01 18:43:00,2014-10-26 00:00:00,Neutered Male,371,0
A760445,Yes,2017-10-18 12:37:00,Austin (TX),Stray,Normal,Dog,Intact Male,731,Mixed Breed,Light,2017-10-26 18:19:00,2015-10-18 00:00:00,Neutered Male,739,0
A765846,Yes,2018-01-06 16:28:00,Pflugerville (TX),Owner Surrender,Normal,Dog,Intact Female,17,Mixed Breed,Light,2018-02-24 17:10:00,2017-12-20 00:00:00,Spayed Female,66,0
A690778,Yes,2014-10-25 18:58:00,Austin (TX),Stray,Normal,Dog,Neutered Male,334,Pure Breed,Dark,2014-10-26 15:37:00,2013-11-25 00:00:00,Neutered Male,335,0
