AnimalID,Name_Provided,DateTime_Intake,FoundLocation,IntakeType,IntakeCondition,AnimalType_Intake,SexuponIntake,AgeuponIntake,Breed_Intake,Color_Intake,DateTime_Outcome,DateofBirth,SexuponOutcome,AgeuponOutcome,binary_outcome,ColorOriginal,BreedOriginal,percent,SexKnown,CatOrDog,AgeIntake_bins,SickOrInjured
A813835,No,2020-02-19 12:59:00,Austin (TX),Wildlife,Sick,Other,Unknown,730,Pure Breed,Dark,2020-02-23 09:08:00,2018-02-19 00:00:00,Unknown,734,1.0,Brown,Coyote,0.7042253521126761,0,0,"(366.0, 730.0]",1
A813834,Yes,2020-02-19 12:47:00,Austin (TX),Abandoned,Normal,Dog,Intact Male,457,Pure Breed,Dark,2020-02-19 13:10:00,2018-11-19 00:00:00,Intact Male,457,0.0,Black/White,Border Collie,0.11655011655011654,1,1,"(366.0, 730.0]",0
A813833,Yes,2020-02-19 11:55:00,Travis (TX),Owner Surrender,Normal,Dog,Intact Male,1584,Mixed Breed,Dark,2020-03-04 11:56:00,2015-10-19 00:00:00,Neutered Male,1598,0.0,Brown/White,Catahoula Mix,0.11655011655011654,1,1,"(1095.0, 1654.2]",0
A813830,Yes,2020-02-19 12:03:00,Austin (TX),Stray,Normal,Dog,Intact Male,363,Pure Breed,Light,2020-02-25 14:52:00,2019-02-21 00:00:00,Intact Male,369,0.0,Blue/White,American Bulldog,0.11655011655011654,1,1,"(155.0, 365.0]",0
A813829,No,2020-02-19 11:52:00,Travis (TX),Owner Surrender,Nursing,Dog,Intact Male,1,Mixed Breed,Dark,2020-03-24 12:43:00,2020-02-18 00:00:00,Intact Male,35,0.0,Brown,Chihuahua Shorthair Mix,0.11655011655011654,1,1,"(-1.001, 50.4]",0
A813828,No,2020-02-19 11:52:00,Travis (TX),Owner Surrender,Nursing,Dog,Intact Male,1,Mixed Breed,Dark,2020-03-24 12:43:00,2020-02-18 00:00:00,Intact Male,35,0.0,Brown,Chihuahua Shorthair Mix,0.11655011655011654,1,1,"(-1.001, 50.4]",0
A813827,No,2020-02-19 11:52:00,Travis (TX),Owner Surrender,Nursing,Dog,Intact Male,1,Mixed Breed,Dark,2020-03-24 12:43:00,2020-02-18 00:00:00,Intact Male,35,0.0,Brown,Chihuahua Shorthair Mix,0.11655011655011654,1,1,"(-1.001, 50.4]",0
A813826,No,2020-02-19 11:52:00,Travis (TX),Owner Surrender,Nursing,Dog,Unknown,1,Mixed Breed,Light,2020-03-02 09:06:00,2020-02-18 00:00:00,Unknown,13,1.0,Red,Chihuahua Shorthair Mix,0.11655011655011654,0,1,"(-1.001, 50.4]",0
A813824,Yes,2020-02-19 11:40:00,Other,Stray,Normal,Dog,Intact Female,184,Pure Breed,Light,2020-02-25 17:31:00,2019-08-19 00:00:00,Spayed Female,190,0.0,Red/White,Black Mouth Cur,0.11655011655011654,1,1,"(155.0, 365.0]",0
A813823,Yes,2020-02-19 10:40:00,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1095,Pure Breed,Light,2020-02-20 11:09:00,2017-02-19 00:00:00,Neutered Male,1096,0.0,Gray/White,Standard Schnauzer,0.11655011655011654,1,1,"(731.0, 1095.0]",0
A813822,Yes,2020-02-19 10:27:00,Austin (TX),Public Assist,Normal,Dog,Neutered Male,2419,Pure Breed,Light,2020-02-20 17:51:00,2013-07-06 00:00:00,Neutered Male,2420,0.0,White/Brown,Parson Russell Terrier,0.11655011655011654,1,1,"(1654.2, 5478.0]",0
A813819,Yes,2020-02-19 07:54:00,Austin (TX),Abandoned,Normal,Dog,Neutered Male,1826,Pure Breed,Light,2020-02-26 11:32:00,2015-02-19 00:00:00,Neutered Male,1833,0.0,White/Brown,Pointer/Labrador Retriever,0.11655011655011654,1,1,"(1654.2, 5478.0]",0
A813818,No,2020-02-19 07:50:00,Austin (TX),Wildlife,Normal,Bat,Unknown,365,Pure Breed,Dark,2020-02-20 10:55:00,2019-02-19 00:00:00,Unknown,366,1.0,Black,Bat,0.11655011655011654,0,0,"(155.0, 365.0]",0
A813817,Yes,2020-02-19 07:39:00,Austin (TX),Stray,Normal,Dog,Intact Male,99,Pure Breed,Light,2020-02-23 11:38:00,2019-11-12 00:00:00,Intact Male,103,0.0,Blue Merle/White,Great Dane,0.11655011655011654,1,1,"(76.0, 155.0]",0
A813816,No,2020-02-19 07:33:00,Austin (TX),Stray,Injured,Cat,Unknown,730,Pure Breed,Dark,2020-02-19 12:58:00,2018-02-19 00:00:00,Unknown,730,1.0,Black,Domestic Shorthair,0.7042253521126761,0,1,"(366.0, 730.0]",1
A813814,No,2020-02-18 20:56:00,Austin (TX),Stray,Normal,Dog,Intact Female,364,Pure Breed,Light,2020-02-25 11:39:00,2019-02-19 00:00:00,Intact Female,371,0.0,White/Tan,Rat Terrier/Chihuahua Shorthair,0.11655011655011654,1,1,"(155.0, 365.0]",0
A813813,No,2020-02-18 20:56:00,Austin (TX),Stray,Normal,Dog,Intact Female,364,Pure Breed,Dark,2020-02-25 11:38:00,2019-02-19 00:00:00,Intact Female,371,0.0,Black,Rat Terrier/Chihuahua Shorthair,0.11655011655011654,1,1,"(155.0, 365.0]",0
A813809,No,2020-02-18 18:55:00,Austin (TX),Stray,Normal,Cat,Intact Female,365,Pure Breed,Light,2020-02-21 18:42:00,2019-02-18 00:00:00,Intact Female,368,0.0,Orange Tabby/White,Domestic Shorthair,0.11655011655011654,1,1,"(155.0, 365.0]",0
A813808,No,2020-02-18 18:54:00,Austin (TX),Stray,Injured,Cat,Intact Female,4383,Pure Breed,Light,2020-02-24 00:00:00,2008-02-18 00:00:00,Intact Female,4389,0.0,Gray/White,Domestic Shorthair,0.7042253521126761,1,1,"(1654.2, 5478.0]",1
A813806,No,2020-02-18 18:21:00,Austin (TX),Wildlife,Normal,Bat,Unknown,365,Pure Breed,Dark,2020-02-18 18:52:00,2019-02-18 00:00:00,Unknown,365,1.0,Brown,Bat,0.11655011655011654,0,0,"(155.0, 365.0]",0
A813804,No,2020-02-18 16:49:00,Austin (TX),Stray,Normal,Dog,Intact Male,730,Pure Breed,Light,2020-02-19 11:21:00,2018-02-18 00:00:00,Intact Male,731,0.0,Cream,Labrador Retriever/Great Pyrenees,0.11655011655011654,1,1,"(366.0, 730.0]",0
A813802,Yes,2020-02-18 16:32:00,Other,Owner Surrender,Normal,Cat,Intact Female,245,Pure Breed,Dark,2020-02-21 18:30:00,2019-06-18 00:00:00,Spayed Female,248,0.0,Brown Tabby,Domestic Longhair,0.11655011655011654,1,1,"(155.0, 365.0]",0
A813801,Yes,2020-02-18 16:32:00,Other,Owner Surrender,Normal,Cat,Intact Female,245,Pure Breed,Dark,2020-02-22 17:06:00,2019-06-18 00:00:00,Spayed Female,249,0.0,Brown Tabby/White,Domestic Longhair,0.11655011655011654,1,1,"(155.0, 365.0]",0
A813800,Yes,2020-02-18 16:51:00,Austin (TX),Stray,Normal,Dog,Intact Female,365,Pure Breed,Light,2020-02-28 12:25:00,2019-02-18 00:00:00,Spayed Female,375,0.0,Red/White,Labrador Retriever,0.11655011655011654,1,1,"(155.0, 365.0]",0
A813798,No,2020-02-18 16:06:00,Austin (TX),Owner Surrender,Normal,Other,Unknown,92,Pure Breed,Light,2020-02-23 15:32:00,2019-11-18 00:00:00,Unknown,97,0.0,Tricolor,Guinea Pig,0.11655011655011654,0,0,"(76.0, 155.0]",0
A813797,No,2020-02-18 16:06:00,Austin (TX),Owner Surrender,Normal,Other,Unknown,92,Pure Breed,Light,2020-02-23 15:32:00,2019-11-18 00:00:00,Unknown,97,0.0,Tricolor,Guinea Pig,0.11655011655011654,0,0,"(76.0, 155.0]",0
A813796,No,2020-02-18 16:06:00,Austin (TX),Owner Surrender,Normal,Other,Unknown,92,Pure Breed,Light,2020-02-23 15:32:00,2019-11-18 00:00:00,Unknown,97,0.0,Tricolor,Guinea Pig,0.11655011655011654,0,0,"(76.0, 155.0]",0
A813795,No,2020-02-18 16:06:00,Austin (TX),Owner Surrender,Normal,Other,Unknown,92,Pure Breed,Light,2020-02-23 15:31:00,2019-11-18 00:00:00,Unknown,97,0.0,Tricolor,Guinea Pig,0.11655011655011654,0,0,"(76.0, 155.0]",0
A813794,No,2020-02-18 16:06:00,Austin (TX),Owner Surrender,Normal,Other,Unknown,184,Pure Breed,Light,2020-02-23 15:30:00,2019-08-18 00:00:00,Unknown,189,0.0,Tricolor,Guinea Pig,0.11655011655011654,0,0,"(155.0, 365.0]",0
A813793,No,2020-02-18 16:06:00,Austin (TX),Owner Surrender,Normal,Other,Unknown,184,Pure Breed,Light,2020-02-23 15:30:00,2019-08-18 00:00:00,Unknown,189,0.0,Tricolor,Guinea Pig,0.11655011655011654,0,0,"(155.0, 365.0]",0
A813792,Yes,2020-02-18 16:06:00,Austin (TX),Owner Surrender,Normal,Other,Unknown,365,Pure Breed,Light,2020-02-23 15:29:00,2019-02-18 00:00:00,Unknown,370,0.0,Tricolor,Guinea Pig,0.11655011655011654,0,0,"(155.0, 365.0]",0
A813791,Yes,2020-02-18 16:06:00,Austin (TX),Owner Surrender,Normal,Other,Unknown,365,Pure Breed,Light,2020-02-23 15:28:00,2019-02-18 00:00:00,Unknown,370,0.0,Tricolor,Guinea Pig,0.11655011655011654,0,0,"(155.0, 365.0]",0
A813786,Yes,2020-02-26 19:46:00,Travis (TX),Stray,Normal,Dog,Neutered Male,1822,Pure Breed,Dark,2020-03-07 13:13:00,2015-03-02 00:00:00,Neutered Male,1832,0.0,Black,Great Dane,0.11655011655011654,1,1,"(1654.2, 5478.0]",0
A813785,Yes,2020-03-07 13:13:00,Travis (TX),Stray,Normal,Dog,Neutered Male,383,Pure Breed,Dark,2020-03-11 16:41:00,2019-02-18 00:00:00,Neutered Male,387,0.0,Black/Brown,Doberman Pinsch,0.11655011655011654,1,1,"(366.0, 730.0]",0
A813783,No,2020-02-18 14:45:00,Austin (TX),Stray,Injured,Cat,Intact Male,730,Pure Breed,Light,2020-02-18 16:06:00,2018-02-18 00:00:00,Intact Male,730,1.0,Seal Point,Siamese,0.7042253521126761,1,1,"(366.0, 730.0]",1
A813781,No,2020-02-18 14:19:00,Austin (TX),Stray,Normal,Dog,Intact Female,92,Mixed Breed,Light,2020-02-22 17:17:00,2019-11-18 00:00:00,Spayed Female,96,0.0,Blue Tick/Tricolor,Australian Cattle Dog Mix,0.11655011655011654,1,1,"(76.0, 155.0]",0
A813780,No,2020-02-18 14:06:00,Travis (TX),Stray,Normal,Cat,Neutered Male,365,Mixed Breed,Dark,2020-02-23 17:35:00,2019-02-18 00:00:00,Neutered Male,370,0.0,Brown Tabby/White,Domestic Shorthair Mix,0.11655011655011654,1,1,"(155.0, 365.0]",0
A813779,No,2020-02-18 13:35:00,Austin (TX),Stray,Normal,Cat,Intact Male,184,Pure Breed,Dark,2020-02-23 17:35:00,2019-08-18 00:00:00,Intact Male,189,0.0,Brown Tabby/White,Domestic Shorthair,0.11655011655011654,1,1,"(155.0, 365.0]",0
A813778,No,2020-02-18 13:35:00,Austin (TX),Stray,Normal,Cat,Intact Male,153,Pure Breed,Dark,2020-02-23 17:34:00,2019-09-18 00:00:00,Intact Male,158,0.0,Brown Tabby/White,Domestic Shorthair,0.11655011655011654,1,1,"(76.0, 155.0]",0
A813775,No,2020-02-18 12:39:00,Travis (TX),Owner Surrender,Normal,Dog,Intact Male,3,Mixed Breed,Light,2020-02-19 12:00:00,2020-02-15 00:00:00,Intact Male,4,0.0,Tricolor,Chihuahua Shorthair Mix,0.11655011655011654,1,1,"(-1.001, 50.4]",0
A813774,No,2020-02-18 12:39:00,Travis (TX),Owner Surrender,Normal,Dog,Intact Male,3,Mixed Breed,Dark,2020-02-19 12:00:00,2020-02-15 00:00:00,Intact Male,4,0.0,Chocolate/White,Chihuahua Shorthair Mix,0.11655011655011654,1,1,"(-1.001, 50.4]",0
A813773,No,2020-02-18 12:39:00,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,3,Mixed Breed,Light,2020-02-19 11:59:00,2020-02-15 00:00:00,Intact Female,4,0.0,Buff/White,Chihuahua Shorthair Mix,0.11655011655011654,1,1,"(-1.001, 50.4]",0
A813772,No,2020-02-18 12:39:00,Travis (TX),Owner Surrender,Normal,Dog,Intact Male,3,Mixed Breed,Light,2020-02-19 11:59:00,2020-02-15 00:00:00,Intact Male,4,0.0,White/Black,Chihuahua Shorthair Mix,0.11655011655011654,1,1,"(-1.001, 50.4]",0
A813771,Yes,2020-02-18 12:39:00,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,1095,Mixed Breed,Dark,2020-02-19 11:59:00,2017-02-18 00:00:00,Intact Female,1096,0.0,Brown/White,Chihuahua Shorthair Mix,0.11655011655011654,1,1,"(731.0, 1095.0]",0
